epoch, batch, loss, loss_f, f_mae, f_rmse
    1,     1,          0.67729,          0.67729,            20.64,           25.924
    1,     2,          0.52884,          0.52884,            17.44,           22.907
    1,     3,          0.82677,          0.82677,           21.771,           28.642
    1,     4,           1.5634,           1.5634,           25.727,           39.385
    1,     5,           1.1447,           1.1447,           25.609,           33.702
    2,     1,          0.47871,          0.47871,            16.29,           21.794
    2,     2,           1.0802,           1.0802,           24.906,           32.738
    2,     3,           1.4774,           1.4774,           25.118,           38.287
    2,     4,          0.54445,          0.54445,           18.685,           23.243
    2,     5,          0.67406,          0.67406,           19.661,           25.862
    3,     1,          0.93054,          0.93054,           23.262,           30.386
    3,     2,          0.50645,          0.50645,             18.1,           22.417
    3,     3,           1.3329,           1.3329,           24.043,           36.367
    3,     4,          0.54685,          0.54685,           17.657,           23.294
    3,     5,          0.42941,          0.42941,           14.725,           20.642
    4,     1,          0.42598,          0.42598,           14.501,           20.559
    4,     2,           1.1787,           1.1787,            22.88,           34.198
    4,     3,          0.43195,          0.43195,           16.152,           20.703
    4,     4,          0.35221,          0.35221,           14.513,           18.694
    4,     5,          0.63237,          0.63237,           19.536,           25.049
    5,     1,          0.42395,          0.42395,            15.51,            20.51
    5,     2,           0.4404,           0.4404,           14.334,           20.904
    5,     3,          0.25947,          0.25947,           12.015,           16.045
    5,     4,            0.986,            0.986,           20.469,           31.278
    5,     5,          0.41246,          0.41246,            15.59,            20.23
    6,     1,          0.42074,          0.42074,           14.097,           20.432
    6,     2,          0.33075,          0.33075,           13.767,           18.116
    6,     3,          0.91697,          0.91697,            19.82,           30.164
    6,     4,          0.26873,          0.26873,            12.22,           16.329
    6,     5,          0.37609,          0.37609,           14.561,           19.318
    7,     1,          0.35562,          0.35562,           12.988,           18.785
    7,     2,          0.31863,          0.31863,           14.621,           17.781
    7,     3,          0.78829,          0.78829,           18.873,           27.967
    7,     4,          0.30685,          0.30685,           13.166,           17.449
    7,     5,          0.15495,          0.15495,           10.392,           12.399
    8,     1,          0.70348,          0.70348,           17.368,            26.42
    8,     2,          0.29473,          0.29473,            12.18,           17.101
    8,     3,           0.2282,           0.2282,           11.909,           15.048
    8,     4,          0.16714,          0.16714,           10.314,           12.878
    8,     5,           0.3241,           0.3241,           13.531,           17.933
    9,     1,          0.28562,          0.28562,           11.692,           16.835
    9,     2,          0.57986,          0.57986,           16.057,           23.987
    9,     3,          0.13336,          0.13336,           9.0651,           11.503
    9,     4,           0.3127,           0.3127,           13.316,           17.615
    9,     5,          0.18256,          0.18256,           10.593,           13.459
   10,     1,          0.16426,          0.16426,           9.9894,           12.766
   10,     2,          0.51579,          0.51579,           15.038,           22.623
   10,     3,          0.10997,          0.10997,           8.3106,           10.446
   10,     4,          0.26479,          0.26479,           10.629,           16.209
   10,     5,          0.28078,          0.28078,           12.688,           16.691
