epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_H_f_mae,training_C_f_mae,training_psavg_f_mae,training_H_f_rmse,training_C_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_H_f_mae,validation_C_f_mae,validation_psavg_f_mae,validation_H_f_rmse,validation_C_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
         1,   28.085,    0.005,         0.095366,        0.0030005,         0.098367,         5.12,         8.91,         3.58,         6.89,         5.24,         5.63,         11.6,          8.6,         13.2,        0.882,        0.0072399,        6.179e-06,        0.0072461,         1.83,         2.45,         1.58,         2.12,         1.85,         2.15,         2.76,         2.45,        0.806,       0.0538
         2,   49.171,    0.005,        0.0046527,       7.2153e-05,        0.0047249,         1.43,         1.97,         1.09,         1.83,         1.46,         1.48,         2.41,         1.94,         2.98,        0.199,        0.0021025,        9.349e-07,        0.0021035,         0.94,         1.32,        0.709,          1.2,        0.956,         1.03,         1.59,         1.31,        0.316,       0.0211
epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_H_f_mae,training_C_f_mae,training_psavg_f_mae,training_H_f_rmse,training_C_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_H_f_mae,validation_C_f_mae,validation_psavg_f_mae,validation_H_f_rmse,validation_C_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
         1,   27.498,    0.005,         0.095366,        0.0030005,         0.098367,         5.12,         8.91,         3.58,         6.89,         5.24,         5.63,         11.6,          8.6,         13.2,        0.882,        0.0072399,       6.1863e-06,        0.0072461,         1.83,         2.45,         1.58,         2.12,         1.85,         2.15,         2.76,         2.45,        0.807,       0.0538
         2,   48.715,    0.005,        0.0046528,       7.2163e-05,         0.004725,         1.43,         1.97,         1.09,         1.83,         1.46,         1.48,         2.41,         1.94,         2.98,        0.199,        0.0021025,       9.3151e-07,        0.0021035,         0.94,         1.32,        0.709,          1.2,        0.956,         1.03,         1.59,         1.31,        0.316,        0.021
         3,   70.175,    0.005,        0.0022253,       5.1764e-05,        0.0022771,        0.974,         1.36,        0.704,         1.28,        0.994,        0.947,         1.71,         1.33,         2.59,        0.173,        0.0012181,       4.8072e-07,        0.0012186,        0.702,         1.01,        0.506,        0.926,        0.716,         0.73,         1.25,         0.99,        0.223,       0.0149
         4,   91.761,    0.005,        0.0014507,       1.3872e-05,        0.0014646,        0.784,          1.1,        0.551,         1.05,        0.801,         0.74,          1.4,         1.07,         1.26,       0.0843,       0.00091048,       3.4773e-07,       0.00091083,        0.598,         0.87,        0.425,        0.796,         0.61,        0.615,         1.09,        0.853,        0.192,       0.0128
         5,  113.480,    0.005,        0.0013449,       1.6051e-05,        0.0013609,         0.76,         1.06,        0.539,         1.01,        0.776,        0.716,         1.35,         1.03,         1.38,        0.092,       0.00070478,       2.7654e-07,       0.00070506,        0.522,        0.766,        0.372,        0.695,        0.533,        0.541,         0.96,         0.75,        0.176,       0.0117
         6,  134.906,    0.005,       0.00094569,       4.5339e-06,       0.00095022,        0.633,        0.887,        0.439,        0.855,        0.647,        0.586,         1.14,        0.862,        0.731,       0.0487,       0.00055075,       1.8915e-07,       0.00055094,        0.464,        0.677,        0.326,        0.623,        0.474,         0.46,         0.86,         0.66,        0.139,      0.00929
         7,  156.746,    0.005,       0.00087724,       5.1917e-06,       0.00088243,        0.604,        0.854,        0.414,        0.821,        0.618,         0.56,          1.1,        0.829,        0.794,       0.0529,        0.0004463,       1.2196e-07,       0.00044642,        0.417,        0.609,        0.289,        0.564,        0.426,        0.408,        0.778,        0.593,        0.113,      0.00752
         8,  178.349,    0.005,       0.00066544,        4.422e-06,       0.00066986,        0.533,        0.744,        0.369,        0.719,        0.544,        0.495,        0.952,        0.723,        0.718,       0.0478,       0.00036804,       1.0141e-07,       0.00036814,         0.38,        0.553,        0.263,        0.513,        0.388,        0.372,        0.706,        0.539,        0.107,       0.0071
         9,  200.176,    0.005,       0.00070712,       4.7859e-06,       0.00071191,        0.543,        0.767,        0.373,        0.738,        0.556,        0.503,        0.985,        0.744,        0.716,       0.0477,       0.00031573,       8.2291e-08,       0.00031582,        0.353,        0.512,        0.246,        0.474,         0.36,        0.353,        0.648,        0.501,       0.0916,       0.0061
        10,  221.817,    0.005,       0.00057198,       3.6993e-06,       0.00057568,        0.488,         0.69,        0.328,        0.671,          0.5,        0.438,        0.894,        0.666,          0.7,       0.0467,       0.00026851,       5.8619e-08,       0.00026857,        0.327,        0.473,         0.23,        0.438,        0.334,        0.328,        0.596,        0.462,       0.0797,      0.00531
        11,  243.354,    0.005,       0.00052424,       3.8026e-06,       0.00052804,        0.464,         0.66,        0.311,         0.64,        0.475,        0.417,        0.858,        0.637,        0.694,       0.0463,       0.00023856,       4.7133e-08,        0.0002386,        0.308,        0.445,        0.216,        0.414,        0.315,        0.308,        0.563,        0.435,       0.0697,      0.00465
        12,  264.729,    0.005,       0.00054948,       3.7672e-06,       0.00055325,        0.477,        0.676,        0.323,        0.653,        0.488,        0.435,        0.874,        0.654,        0.691,       0.0461,       0.00021956,       4.5501e-08,        0.0002196,        0.295,        0.427,        0.205,        0.398,        0.302,        0.291,        0.543,        0.417,       0.0691,       0.0046
        13,  286.518,    0.005,       0.00036363,       2.2875e-06,       0.00036592,        0.395,         0.55,        0.277,        0.529,        0.403,        0.374,        0.699,        0.536,        0.533,       0.0356,       0.00019778,       4.4717e-08,       0.00019783,        0.282,        0.406,        0.199,        0.377,        0.288,        0.285,         0.51,        0.397,       0.0694,      0.00463
        14,  308.025,    0.005,       0.00041023,       2.6324e-06,       0.00041286,        0.416,        0.584,        0.288,        0.561,        0.425,         0.39,        0.747,        0.568,        0.567,       0.0378,       0.00018302,       4.3975e-08,       0.00018307,        0.272,         0.39,        0.191,        0.364,        0.278,        0.271,        0.492,        0.382,       0.0691,       0.0046
        15,  329.960,    0.005,       0.00033153,       2.1404e-06,       0.00033368,        0.376,        0.525,        0.259,        0.509,        0.384,        0.351,        0.671,        0.511,        0.506,       0.0337,       0.00016576,       3.4205e-08,       0.00016579,         0.26,        0.371,        0.183,        0.347,        0.265,        0.261,        0.467,        0.364,       0.0628,      0.00419
        16,  351.525,    0.005,       0.00034333,       2.4477e-06,       0.00034578,        0.385,        0.534,        0.267,         0.52,        0.394,        0.357,        0.683,         0.52,        0.564,       0.0376,       0.00015627,       3.7893e-08,       0.00015631,        0.252,        0.361,        0.178,        0.337,        0.257,        0.253,        0.453,        0.353,       0.0659,       0.0044
        17,  373.485,    0.005,        0.0003835,       2.2367e-06,       0.00038573,        0.405,        0.565,        0.278,         0.55,        0.414,        0.373,        0.724,        0.549,        0.491,       0.0327,       0.00014722,        3.198e-08,       0.00014725,        0.245,         0.35,        0.173,        0.328,        0.251,        0.245,         0.44,        0.343,       0.0587,      0.00392
        18,  395.134,    0.005,       0.00027976,         1.43e-06,       0.00028119,        0.348,        0.482,        0.243,        0.469,        0.356,        0.324,        0.615,         0.47,        0.396,       0.0264,       0.00014181,       3.3463e-08,       0.00014185,         0.24,        0.343,        0.169,        0.321,        0.245,        0.239,        0.433,        0.336,         0.06,        0.004
        19,  416.509,    0.005,        0.0002517,       1.4197e-06,       0.00025312,        0.327,        0.458,        0.222,        0.447,        0.334,        0.298,        0.589,        0.444,        0.411,       0.0274,       0.00013461,       3.2955e-08,       0.00013464,        0.233,        0.335,        0.164,        0.312,        0.238,        0.233,        0.422,        0.327,       0.0625,      0.00417
        20,  438.201,    0.005,       0.00025352,       2.0825e-06,        0.0002556,        0.323,        0.459,        0.214,        0.449,        0.331,        0.287,        0.598,        0.443,        0.478,       0.0318,       0.00012794,       3.3103e-08,       0.00012797,        0.227,        0.326,        0.159,        0.305,        0.232,        0.226,        0.412,        0.319,       0.0613,      0.00408
epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_H_f_mae,training_C_f_mae,training_psavg_f_mae,training_H_f_rmse,training_C_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_H_f_mae,validation_C_f_mae,validation_psavg_f_mae,validation_H_f_rmse,validation_C_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
         1,   27.001,    0.005,         0.095366,        0.0030005,         0.098367,         5.12,         8.91,         3.58,         6.89,         5.23,         5.63,         11.6,          8.6,         13.2,        0.882,        0.0072399,       6.1988e-06,        0.0072461,         1.83,         2.45,         1.58,         2.12,         1.85,         2.15,         2.76,         2.45,        0.808,       0.0539
         2,   49.294,    0.005,        0.0046528,       7.2156e-05,        0.0047249,         1.43,         1.97,         1.09,         1.83,         1.46,         1.48,         2.41,         1.94,         2.98,        0.199,        0.0021025,       9.3051e-07,        0.0021034,         0.94,         1.32,        0.709,          1.2,        0.956,         1.03,         1.59,         1.31,        0.315,        0.021
         3,   70.424,    0.005,        0.0022252,       5.1731e-05,         0.002277,        0.974,         1.36,        0.704,         1.28,        0.994,        0.947,         1.71,         1.33,         2.59,        0.173,        0.0012181,       4.7768e-07,        0.0012186,        0.702,         1.01,        0.506,        0.926,        0.716,         0.73,         1.25,         0.99,        0.222,       0.0148
         4,   91.557,    0.005,        0.0014507,       1.3868e-05,        0.0014646,        0.784,          1.1,        0.551,         1.05,        0.801,         0.74,          1.4,         1.07,         1.26,       0.0842,       0.00091048,       3.4941e-07,       0.00091083,        0.598,         0.87,        0.425,        0.796,         0.61,        0.615,         1.09,        0.853,        0.192,       0.0128
         5,  112.569,    0.005,        0.0013449,        1.607e-05,        0.0013609,         0.76,         1.06,        0.539,         1.01,        0.776,        0.716,         1.35,         1.03,         1.38,       0.0921,       0.00070478,       2.7707e-07,       0.00070506,        0.522,        0.766,        0.372,        0.695,        0.533,        0.541,         0.96,         0.75,        0.176,       0.0117
