[2024/04/20 17:09:40] ppsci INFO: Auto collation is disabled and set num_workers to 0 to speed up batch sampling.
[2024/04/20 17:09:40] ppsci INFO: Using paddlepaddle 2.6.1 on device Place(gpu:0)
[2024/04/20 17:09:40] ppsci INFO: Set to_static=False for computational optimization.
[2024/04/20 17:09:41] ppsci INFO: [Train][Epoch  1/10][Iter   1/100] lr: 0.00200, loss: 0.34426, EQ: 0.34426, batch_cost: 1.31688s, reader_cost: 0.00718s, ips: 24.30, eta: 0:21:55
[2024/04/20 17:09:41] ppsci INFO: [Train][Epoch  1/10][Iter  10/100] lr: 0.00200, loss: 0.17181, EQ: 0.17181, batch_cost: 0.00085s, reader_cost: 0.00005s, ips: 37496.62, eta: 0:00:00
[2024/04/20 17:09:41] ppsci INFO: [Train][Epoch  1/10][Iter  20/100] lr: 0.00200, loss: 0.13495, EQ: 0.13495, batch_cost: 0.00097s, reader_cost: 0.00005s, ips: 33061.58, eta: 0:00:00
[2024/04/20 17:09:41] ppsci INFO: [Train][Epoch  1/10][Iter  30/100] lr: 0.00200, loss: 0.11068, EQ: 0.11068, batch_cost: 0.00087s, reader_cost: 0.00005s, ips: 36612.09, eta: 0:00:00
[2024/04/20 17:09:41] ppsci INFO: [Train][Epoch  1/10][Iter  40/100] lr: 0.00200, loss: 0.09087, EQ: 0.09087, batch_cost: 0.00082s, reader_cost: 0.00005s, ips: 39027.16, eta: 0:00:00
[2024/04/20 17:09:41] ppsci INFO: [Train][Epoch  1/10][Iter  50/100] lr: 0.00200, loss: 0.07822, EQ: 0.07822, batch_cost: 0.00080s, reader_cost: 0.00005s, ips: 40145.32, eta: 0:00:00
[2024/04/20 17:09:41] ppsci INFO: [Train][Epoch  1/10][Iter  60/100] lr: 0.00200, loss: 0.06877, EQ: 0.06877, batch_cost: 0.00079s, reader_cost: 0.00005s, ips: 40418.85, eta: 0:00:00
[2024/04/20 17:09:41] ppsci INFO: [Train][Epoch  1/10][Iter  70/100] lr: 0.00200, loss: 0.06111, EQ: 0.06111, batch_cost: 0.00079s, reader_cost: 0.00005s, ips: 40263.36, eta: 0:00:00
[2024/04/20 17:09:41] ppsci INFO: [Train][Epoch  1/10][Iter  80/100] lr: 0.00200, loss: 0.05556, EQ: 0.05556, batch_cost: 0.00079s, reader_cost: 0.00005s, ips: 40351.51, eta: 0:00:00
[2024/04/20 17:09:41] ppsci INFO: [Train][Epoch  1/10][Iter  90/100] lr: 0.00200, loss: 0.05111, EQ: 0.05111, batch_cost: 0.00078s, reader_cost: 0.00005s, ips: 40810.20, eta: 0:00:00
[2024/04/20 17:09:41] ppsci INFO: [Train][Epoch  1/10][Iter 100/100] lr: 0.00200, loss: 0.04759, EQ: 0.04759, batch_cost: 0.00077s, reader_cost: 0.00005s, ips: 41346.44, eta: 0:00:00
