Training | Average loss 15.7458 kld 91.4347 kld1 58.7546 kld2 18.5034 kld3 14.1768 elem_type_num 1.0163 elem_type 0.1880 elem_num 0.6527 lattice 0.0905 coord 0.6616 elem_type_num_acc 0.6777, elem_type_acc 0.9606 elem_type_recall 0.4885 elem_num_acc 0.9100 elem_type_match 0.0001 elem_num_match 0.6753 comp_match 0.0000
Training | Average loss 9.0687 kld 62.4868 kld1 41.6367 kld2 4.3998 kld3 16.4503 elem_type_num 0.3700 elem_type 0.0927 elem_num 0.1698 lattice 0.0177 coord 0.4947 elem_type_num_acc 0.9585, elem_type_acc 0.9631 elem_type_recall 0.5221 elem_num_acc 0.9812 elem_type_match 0.0026 elem_num_match 0.9325 comp_match 0.0025
Training | Average loss 8.0730 kld 55.7569 kld1 36.5221 kld2 3.5282 kld3 15.7066 elem_type_num 0.1551 elem_type 0.0850 elem_num 0.0960 lattice 0.0156 coord 0.4559 elem_type_num_acc 0.9763, elem_type_acc 0.9706 elem_type_recall 0.6200 elem_num_acc 0.9879 elem_type_match 0.0387 elem_num_match 0.9566 comp_match 0.0371
Training | Average loss 7.3129 kld 65.8829 kld1 46.0190 kld2 4.5665 kld3 15.2975 elem_type_num 0.1367 elem_type 0.0682 elem_num 0.0848 lattice 0.0145 coord 0.4243 elem_type_num_acc 0.9762, elem_type_acc 0.9851 elem_type_recall 0.8081 elem_num_acc 0.9873 elem_type_match 0.3092 elem_num_match 0.9553 comp_match 0.3007
Training | Average loss 6.4944 kld 80.3454 kld1 60.2950 kld2 4.8437 kld3 15.2067 elem_type_num 0.1308 elem_type 0.0433 elem_num 0.0773 lattice 0.0130 coord 0.4055 elem_type_num_acc 0.9766, elem_type_acc 0.9930 elem_type_recall 0.9102 elem_num_acc 0.9881 elem_type_match 0.6476 elem_num_match 0.9575 comp_match 0.6309
Training | Average loss 6.0609 kld 81.5533 kld1 62.5712 kld2 4.0540 kld3 14.9281 elem_type_num 0.1180 elem_type 0.0279 elem_num 0.0715 lattice 0.0115 coord 0.4103 elem_type_num_acc 0.9785, elem_type_acc 0.9958 elem_type_recall 0.9481 elem_num_acc 0.9879 elem_type_match 0.7858 elem_num_match 0.9574 comp_match 0.7687
Training | Average loss 5.6977 kld 79.3634 kld1 61.4459 kld2 3.4404 kld3 14.4771 elem_type_num 0.1182 elem_type 0.0205 elem_num 0.0674 lattice 0.0097 coord 0.4006 elem_type_num_acc 0.9691, elem_type_acc 0.9968 elem_type_recall 0.9599 elem_num_acc 0.9878 elem_type_match 0.8285 elem_num_match 0.9556 comp_match 0.8105
Training | Average loss 5.4565 kld 75.3044 kld1 58.9972 kld2 2.9645 kld3 13.3427 elem_type_num 0.1160 elem_type 0.0166 elem_num 0.0615 lattice 0.0081 coord 0.3947 elem_type_num_acc 0.9769, elem_type_acc 0.9976 elem_type_recall 0.9708 elem_num_acc 0.9889 elem_type_match 0.8724 elem_num_match 0.9595 comp_match 0.8539
Training | Average loss 5.2026 kld 71.4554 kld1 56.8007 kld2 2.5957 kld3 12.0589 elem_type_num 0.1066 elem_type 0.0138 elem_num 0.0602 lattice 0.0063 coord 0.3846 elem_type_num_acc 0.9791, elem_type_acc 0.9980 elem_type_recall 0.9754 elem_num_acc 0.9916 elem_type_match 0.8885 elem_num_match 0.9694 comp_match 0.8780
Training | Average loss 5.0318 kld 67.9661 kld1 55.1709 kld2 2.2440 kld3 10.5512 elem_type_num 0.1036 elem_type 0.0122 elem_num 0.0570 lattice 0.0047 coord 0.3779 elem_type_num_acc 0.9798, elem_type_acc 0.9983 elem_type_recall 0.9798 elem_num_acc 0.9917 elem_type_match 0.9038 elem_num_match 0.9693 comp_match 0.8931
Training | Average loss 4.9143 kld 64.6456 kld1 53.5507 kld2 1.9950 kld3 9.0999 elem_type_num 0.0995 elem_type 0.0106 elem_num 0.0549 lattice 0.0039 coord 0.3756 elem_type_num_acc 0.9795, elem_type_acc 0.9984 elem_type_recall 0.9816 elem_num_acc 0.9905 elem_type_match 0.9116 elem_num_match 0.9661 comp_match 0.8976
